年份,优选游客量（万人次）,游客值状态,优选直接收入（亿元）,直接收入状态,优选综合收入（亿元）,综合收入状态,优选GDP（亿元）,GDP状态,优选第三产业增加值（亿元）,三产状态,来源ID,质量说明,综合收入/GDP,第三产业/GDP
2010,848,observed_rounded,7.104247,inferred_from_yoy,35.521236,inferred_from_yoy,215.47,official_yearbook,136.23,official_yearbook,gov_jz_report_2011;gov_jz_bulletin_2011;gov_tj_yearbook_2011_jixian,收入为同比反推；游客量为工作报告约数,0.16485467118392352,0.6322457882767902
2011,1098.6,observed,9.2,observed,46,observed,250.11,official_yearbook,147.02,official_yearbook,gov_jz_bulletin_2011;gov_tj_yearbook_2012_jixian,宏观指标采用后版年鉴回列值并保留公报初值于宏观长表,0.18391907560673304,0.5878213586022151
2012,1152,observed_rounded,,,52,observed_rounded,291.52,official_yearbook,168.36,official_yearbook,gov_jz_report_2013;db_cei_jizhou_macro_20260817,旅游为工作报告回顾值；宏观采用中经网天津统计年鉴回列值并由EPS交叉核验,0.17837541163556533,0.5775246981339188
2013,1295,observed_cached,12.63,observed_cached,63.2,observed_cached,316.84,official_yearbook,184.98,official_yearbook,gov_jz_tourism_summary_2013;db_cei_jizhou_macro_20260817,旅游官方详情页当前下线；宏观采用天津统计年鉴回列值,0.19946976391869717,0.5838277995202626
2014,1553.4,observed_revised,15.8007,observed_revised,79,observed,350.91,official_yearbook,205.27,official_yearbook,gov_jz_tourism_stats_2015;db_cei_jizhou_macro_20260817,游客和直接收入采用下一年统计表回列修订值；宏观采用天津统计年鉴回列值,0.22512895044313355,0.5849648057906586
2015,1818.72,observed_revised,18.7922,observed_revised,94,observed_supporting_attachment,390.54,official_yearbook,239.01,official_yearbook,gov_jz_tourism_stats_2016;gov_jz_tourism_attachment_2015;db_cei_jizhou_macro_20260817,综合收入证据层级较低；宏观采用天津统计年鉴回列值,0.24069237466072615,0.6119987709325548
2016,2086,observed_revised,21.9172,observed_revised,,,386.54,official_yearbook,228.44,official_yearbook,gov_jz_tourism_stats_2017;db_cei_jizhou_macro_20260817,未找到同口径综合收入；宏观采用天津统计年鉴回列值,,0.5909867025404874
2017,2392,observed,26.1347,observed,130,observed_rounded,365.42,official_yearbook,213.38,official_yearbook,gov_jz_tourism_stats_2017;gov_jz_report_2018;db_cei_jizhou_macro_20260817,工作报告游客约数2400未覆盖统计表精确值2392；宏观采用天津统计年鉴回列值,0.355755021618959,0.5839308193311805
2018,2660,observed_rounded,,,142,observed_rounded,381.66,official_yearbook,234.32,official_yearbook,gov_jz_report_2019;db_cei_jizhou_macro_20260817,宏观采用中经网天津统计年鉴回列值并由EPS交叉核验,0.3720589005921501,0.6139495886391028
2019,2800,observed_rounded,,,165,observed_rounded,219.62,official_yearbook,136.91,official_yearbook,gov_jz_report_2020;gov_jz_bulletin_2019;db_cei_jizhou_macro_20260817,宏观采用天津统计年鉴回列值；与2018年相比仍存在明显口径断点,0.7512976960203989,0.6233949549221383
2020,,,,,,,230.34,official_yearbook,141.54,official_yearbook,gov_jz_bulletin_2020;db_cei_jizhou_macro_20260817,疫情年份未找到可核验的年度旅游总量；宏观采用天津统计年鉴回列值,,0.6144829382651732
2021,,,,,110,observed_rounded,274.2034,official_revised,161.9732,official_revised,gov_jz_report_2022;gov_jz_yearbook_2022,未找到精确游客量；宏观指标采用后版年鉴修订值,0.40116205707150243,0.5907045645677624
2022,,,,,,,282.2414,official_revised,171.2106,official_revised,gov_jz_yearbook_2023,未找到可核验的年度游客量及实际综合收入,,0.6066105114274518
2023,2363,observed_rounded,,,191.5,observed,288.3062,official_final,176.1714,official_final,gov_jz_report_2024;gov_jz_yearbook_2024,宏观指标采用2024年鉴最终核实值,0.6642243559104869,0.6110565780409857
2024,2643,observed_rounded,,,221,observed_rounded,298.865,official_yearbook,183.9654,official_yearbook,gov_jz_report_2025;gov_jz_yearbook_2024,宏观指标采用2024年鉴现价值,0.7394643066267378,0.615546818797785
2025,,,,,,,311.94,official_initial,195.17,official_initial,gov_jz_bulletin_2025,政府报告仅给2025年目标和2021至2025累计值；不作为年度实际,,0.6256651920241072
