年份,指标,数值,单位,值状态,来源ID,来源URL,备注
2014,social_retail_sales,154.22616,100m_cny,observed,gov_jz_tourism_stats_2014,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212306.html,原表单位万元后换算
2014,fixed_asset_investment,635.2217,100m_cny,observed,gov_jz_tourism_stats_2014,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212306.html,采用在地口径
2015,social_retail_sales,178.1839,100m_cny,observed,gov_jz_tourism_stats_2015,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212477.html,原表单位万元后换算
2015,fixed_asset_investment,713.3068,100m_cny,observed,gov_jz_tourism_stats_2015,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212477.html,原表单位万元后换算
2016,social_retail_sales,184.3526,100m_cny,observed,gov_jz_tourism_stats_2016,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212519.html,原表单位万元后换算
2016,fixed_asset_investment,788.6939,100m_cny,observed,gov_jz_tourism_stats_2016,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212519.html,原表单位万元后换算
2016,urban_disposable_income,23042,cny_per_person,observed,gov_jz_tourism_stats_2016,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212519.html,
2016,rural_disposable_income,19165,cny_per_person,observed,gov_jz_tourism_stats_2016,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212519.html,
2017,social_retail_sales,188.817,100m_cny,observed,gov_jz_tourism_stats_2017,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212503.html,原表单位万元后换算
2017,fixed_asset_investment,758.0224,100m_cny,observed,gov_jz_tourism_stats_2017,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212503.html,原表单位万元后换算
2017,all_resident_disposable_income,24989,cny_per_person,observed,gov_jz_tourism_stats_2017,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212503.html,
2017,urban_disposable_income,31182,cny_per_person,observed,gov_jz_tourism_stats_2017,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212503.html,
2017,rural_disposable_income,20774,cny_per_person,observed,gov_jz_tourism_stats_2017,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212503.html,
2019,all_resident_disposable_income,28568,cny_per_person,observed,gov_jz_bulletin_2019,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202107/t20210705_5495855.html,
2019,permanent_population,89.45,10k_persons,observed,gov_jz_bulletin_2019,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202107/t20210705_5495855.html,
2019,road_mileage,3073,km,observed,gov_jz_bulletin_2019,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202107/t20210705_5495855.html,
2020,all_resident_disposable_income,29573,cny_per_person,observed,gov_jz_bulletin_2020,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202111/t20211115_5703949.html,
