来源ID,主题,来源名称,URL,仓库路径,获取状态,说明
tj_2025_bulletin,天津市统计数据,2025年统计公报,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202606/t20260629_7325623.html,data/raw/tj_2025_bulletin_browser.txt,downloaded_via_chrome_text,官方页面正文快照；原始HTML因命令行DNS不可用未保存
tj_2024_yearbook,天津市统计数据,2024年统计年鉴,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/t20251126_7185954.html,data/raw/tj_2024_yearbook_browser.txt,downloaded_via_chrome_text,官方页面正文快照；原始HTML因命令行DNS不可用未保存
tj_historical_data,天津市统计数据,历年数据,https://www.tjjz.gov.cn/zwgk/sjfb/,data/raw/tj_historical_index_browser.txt,downloaded_via_chrome_text,官方数据发布页正文快照
tj_2024_monthly,天津市统计数据,2024年1月至12月数据,https://www.tjjz.gov.cn/zwgk/sjfb/tjyb/202501/t20250123_6842681.html,data/raw/tj_2024_monthly_browser.txt,downloaded_via_chrome_text,官方页面正文快照，含指标表
tj_tourism_search,蓟州区旅游数据,站内检索：旅游接待人次,https://www.tjjz.gov.cn/searchsite/tjsjzqrmzf/search.html?siteId=87&searchWord=%E6%97%85%E6%B8%B8%E6%8E%A5%E5%BE%85%E4%BA%BA%E6%AC%A1,data/raw/tj_tourism_search_browser.txt,downloaded_via_chrome_text,检索结果包含2011—2017年部分旅游接待人次和旅游收入历史记录
gov_jz_data_index,蓟州区政府数据,数据发布总入口,https://www.tjjz.gov.cn/zwgk/sjfb/,data/raw/government/data_release_index.html,downloaded_html,accessed=2026-08-17;官方HTML原件
gov_jz_report_2011,蓟州区政府工作报告,2011年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html,data/raw/government/government_report_2011.html,downloaded_html,accessed=2026-08-17;含2010游客约数
gov_jz_report_2013,蓟州区政府工作报告,2013年政府工作报告（2012年回顾）,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202990.html,data/raw/government/government_report_2012.html,downloaded_html,accessed=2026-08-17;本地文件名按回顾年份命名
gov_jz_report_2015,蓟州区政府工作报告,2015年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203044.html,data/raw/government/government_report_2015.html,downloaded_html,accessed=2026-08-17;含2014游客与综合收入
gov_jz_report_2016,蓟州区政府工作报告,2016年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203179.html,data/raw/government/government_report_2016.html,downloaded_html,accessed=2026-08-17;含十二五回顾
gov_jz_report_2017,蓟州区政府工作报告,2017年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203145.html,data/raw/government/government_report_2017.html,downloaded_html,accessed=2026-08-17;含2016宏观预计值
gov_jz_report_2018,蓟州区政府工作报告,2018年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203142.html,data/raw/government/government_report_2018.html,downloaded_html,accessed=2026-08-17;含2017旅游实际
gov_jz_report_2019,蓟州区政府工作报告,2019年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203369.html,data/raw/government/government_report_2019.html,downloaded_html,accessed=2026-08-17;含2018旅游实际
gov_jz_report_2020,蓟州区政府工作报告,2020年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203431.html,data/raw/government/government_report_2020.html,downloaded_html,accessed=2026-08-17;含2019旅游实际
gov_jz_report_2021,蓟州区政府工作报告,2021年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202101/t20210121_5331746.html,data/raw/government/government_report_2021.html,downloaded_html,accessed=2026-08-17;疫情期政策与预计值
