year,preferred_visitor_10k_persons,visitor_status,preferred_direct_income_100m_cny,direct_status,preferred_comprehensive_income_100m_cny,comprehensive_status,preferred_gdp_100m_cny,gdp_status,preferred_tertiary_100m_cny,tertiary_status,source_ids,quality_note
2010,848,observed_rounded,7.104247,inferred_from_yoy,35.521236,inferred_from_yoy,215.47,official_yearbook,136.23,official_yearbook,gov_jz_report_2011;gov_jz_bulletin_2011;gov_tj_yearbook_2011_jixian,收入为同比反推；游客量为工作报告约数
2011,1098.6,observed,9.2,observed,46,observed,250.11,official_yearbook,147.02,official_yearbook,gov_jz_bulletin_2011;gov_tj_yearbook_2012_jixian,宏观指标采用后版年鉴回列值并保留公报初值于宏观长表
2012,1152,observed_rounded,,,52,observed_rounded,333.3,provisional_estimate,,,gov_jz_report_2013,旅游为工作报告回顾值；GDP为预计值且待后续年鉴复核
2013,1295,observed_cached,12.63,observed_cached,63.2,observed_cached,316.8,inferred_from_official_bulletin,187.5456,inferred_from_official_bulletin,gov_jz_tourism_summary_2013;gov_jz_bulletin_2014,旅游官方详情页当前下线；宏观值由2014公报回列信息推导
2014,1553.4,observed_revised,15.8007,observed_revised,79,observed,361.1,official_initial,212.91,official_initial,gov_jz_tourism_stats_2015;gov_jz_bulletin_2014,游客和直接收入采用下一年统计表回列修订值
2015,1818.72,observed_revised,18.7922,observed_revised,94,observed_supporting_attachment,409,provisional_estimate,,,gov_jz_tourism_stats_2016;gov_jz_tourism_attachment_2015;gov_jz_report_2016,综合收入证据层级较低；GDP为十二五回顾值
2016,2086,observed_revised,21.9172,observed_revised,,,430,provisional_estimate,,,gov_jz_tourism_stats_2017;gov_jz_report_2017,未找到同口径综合收入；GDP为报告预计值
2017,2392,observed,26.1347,observed,130,observed_rounded,,,,,gov_jz_tourism_stats_2017;gov_jz_report_2018,工作报告游客约数2400未覆盖统计表精确值2392
2018,2660,observed_rounded,,,142,observed_rounded,380,provisional_estimate,,,gov_jz_report_2019,GDP为工作报告预计值
2019,2800,observed_rounded,,,165,observed_rounded,210.8,official_initial,129.92,official_initial,gov_jz_report_2020;gov_jz_bulletin_2019,宏观序列与2018年前口径存在明显断点
2020,,,,,,,224.6,official_initial,142.55,official_initial,gov_jz_bulletin_2020,疫情年份未找到可核验的年度旅游总量
2021,,,,,110,observed_rounded,274.2034,official_revised,161.9732,official_revised,gov_jz_report_2022;gov_jz_yearbook_2022,未找到精确游客量；宏观指标采用后版年鉴修订值
2022,,,,,,,282.2414,official_revised,171.2106,official_revised,gov_jz_yearbook_2023,未找到可核验的年度游客量及实际综合收入
2023,2363,observed_rounded,,,191.5,observed,288.3062,official_final,176.1714,official_final,gov_jz_report_2024;gov_jz_yearbook_2024,宏观指标采用2024年鉴最终核实值
2024,2643,observed_rounded,,,221,observed_rounded,298.865,official_yearbook,183.9654,official_yearbook,gov_jz_report_2025;gov_jz_yearbook_2024,宏观指标采用2024年鉴现价值
2025,,,,,,,311.94,official_initial,195.17,official_initial,gov_jz_bulletin_2025,政府报告仅给2025年目标和2021至2025累计值；不作为年度实际
