year,metric,value,unit,value_status,vintage,source_id,evidence_tier,source_url,notes
2010,gdp,208,100m_cny,provisional_estimate,2011_government_report,gov_jz_report_2011,1,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html,报告中的预计值
2010,gdp,215.47,100m_cny,official_yearbook,2011_tianjin_yearbook,gov_tj_yearbook_2011_jixian,1,https://stats.tj.gov.cn/nianjian/2011nj/html/2316.htm,天津统计年鉴回列值；优选
2010,tertiary_value_added,136.23,100m_cny,official_yearbook,2011_tianjin_yearbook,gov_tj_yearbook_2011_jixian,1,https://stats.tj.gov.cn/nianjian/2011nj/html/2316.htm,天津统计年鉴回列值；优选
2011,gdp,264.5,100m_cny,official_initial,2011_statistical_bulletin,gov_jz_bulletin_2011,1,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,初步核算值
2011,tertiary_value_added,165,100m_cny,official_initial,2011_statistical_bulletin,gov_jz_bulletin_2011,1,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,初步核算值
2011,gdp,250.11,100m_cny,official_yearbook,2012_tianjin_yearbook,gov_tj_yearbook_2012_jixian,2,https://stats.tj.gov.cn/nianjian/2012nj/html/22-17.htm,后版年鉴回列值；直接下载受旧站防护限制但官方索引可复核；优选
2011,tertiary_value_added,147.02,100m_cny,official_yearbook,2012_tianjin_yearbook,gov_tj_yearbook_2012_jixian,2,https://stats.tj.gov.cn/nianjian/2012nj/html/22-17.htm,后版年鉴回列值；直接下载受旧站防护限制但官方索引可复核；优选
2012,gdp,333.3,100m_cny,provisional_estimate,2013_government_report,gov_jz_report_2013,1,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202990.html,政府工作报告预计值；未作为最终核算
2013,gdp,316.8,100m_cny,inferred_from_official_bulletin,2014_statistical_bulletin,gov_jz_bulletin_2014,2,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212510.html,由2014年361.1亿元减去公报所述比上年增加44.3亿元
2013,tertiary_value_added,187.5456,100m_cny,inferred_from_official_bulletin,2014_statistical_bulletin,gov_jz_bulletin_2014,2,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212510.html,由2013年GDP316.8亿元乘公报回列三产占比59.2%
2014,gdp,361.1,100m_cny,official_initial,2014_statistical_bulletin,gov_jz_bulletin_2014,1,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212510.html,初步核算值
2014,tertiary_value_added,212.91,100m_cny,official_initial,2014_statistical_bulletin,gov_jz_bulletin_2014,1,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212510.html,初步核算值
2015,gdp,409,100m_cny,provisional_estimate,2016_government_report,gov_jz_report_2016,1,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203179.html,十二五回顾段中的期末值
2016,gdp,430,100m_cny,provisional_estimate,2017_government_report,gov_jz_report_2017,1,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203145.html,报告预计值
2018,gdp,380,100m_cny,provisional_estimate,2019_government_report,gov_jz_report_2019,1,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203369.html,报告预计值
2019,gdp,210.8,100m_cny,official_initial,2019_statistical_bulletin,gov_jz_bulletin_2019,1,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202107/t20210705_5495855.html,统一核算前后历史序列存在明显断点
2019,tertiary_value_added,129.92,100m_cny,official_initial,2019_statistical_bulletin,gov_jz_bulletin_2019,1,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202107/t20210705_5495855.html,
2020,gdp,224.6,100m_cny,official_initial,2020_statistical_bulletin,gov_jz_bulletin_2020,1,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202111/t20211115_5703949.html,
2020,tertiary_value_added,142.55,100m_cny,official_initial,2020_statistical_bulletin,gov_jz_bulletin_2020,1,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202111/t20211115_5703949.html,
2021,gdp,250.4,100m_cny,official_initial,2021_statistical_bulletin,gov_jz_bulletin_2021,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202211/t20221128_6044247.html,公报初值
2021,tertiary_value_added,151.52,100m_cny,official_initial,2021_statistical_bulletin,gov_jz_bulletin_2021,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202211/t20221128_6044247.html,公报初值
2021,gdp,274.2034,100m_cny,official_revised,2022_jizhou_yearbook,gov_jz_yearbook_2022,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202311/W020250107625663560312.pdf,后版年鉴修订值；优选
2021,tertiary_value_added,161.9732,100m_cny,official_revised,2022_jizhou_yearbook,gov_jz_yearbook_2022,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202311/W020250107625663560312.pdf,后版年鉴修订值；优选
2022,gdp,279.33,100m_cny,official_initial,2022_statistical_bulletin,gov_jz_bulletin_2022,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202311/t20231107_6450006.html,公报初值
2022,tertiary_value_added,164.78,100m_cny,official_initial,2022_statistical_bulletin,gov_jz_bulletin_2022,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202311/t20231107_6450006.html,公报初值
2022,gdp,282.2414,100m_cny,official_revised,2023_jizhou_yearbook,gov_jz_yearbook_2023,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202501/W020250103638170510358.pdf,后版年鉴修订值；优选
2022,tertiary_value_added,171.2106,100m_cny,official_revised,2023_jizhou_yearbook,gov_jz_yearbook_2023,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202501/W020250103638170510358.pdf,后版年鉴修订值；优选
2023,gdp,287.46,100m_cny,official_initial,2023_statistical_bulletin,gov_jz_bulletin_2023,1,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202406/t20240627_6662772.html,公报初值
2023,tertiary_value_added,179.87,100m_cny,official_initial,2023_statistical_bulletin,gov_jz_bulletin_2023,1,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202406/t20240627_6662772.html,公报初值
2023,gdp,288.3062,100m_cny,official_final,2024_jizhou_yearbook,gov_jz_yearbook_2024,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,后版年鉴最终核实值；优选
2023,tertiary_value_added,176.1714,100m_cny,official_final,2024_jizhou_yearbook,gov_jz_yearbook_2024,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,后版年鉴最终核实值；优选
2024,gdp,298.87,100m_cny,official_initial,2024_statistical_bulletin,gov_jz_bulletin_2024,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202506/t20250630_6969506.html,公报初值
2024,tertiary_value_added,183.97,100m_cny,official_initial,2024_statistical_bulletin,gov_jz_bulletin_2024,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202506/t20250630_6969506.html,公报初值
2024,gdp,298.865,100m_cny,official_yearbook,2024_jizhou_yearbook,gov_jz_yearbook_2024,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,年鉴现价值；优选
2024,tertiary_value_added,183.9654,100m_cny,official_yearbook,2024_jizhou_yearbook,gov_jz_yearbook_2024,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,年鉴现价值；优选
2025,gdp,311.94,100m_cny,official_initial,2025_statistical_bulletin,gov_jz_bulletin_2025,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202606/t20260629_7325623.html,
2025,tertiary_value_added,195.17,100m_cny,official_initial,2025_statistical_bulletin,gov_jz_bulletin_2025,1,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202606/t20260629_7325623.html,
