period_start,period_end,period_type,metric,value,unit,value_status,metric_scope,source_id,evidence_tier,publication_date,accessed_date,source_url,notes
2010,2010,annual,tourist_visits,848,10k_persons,observed_rounded,all_visitors,gov_jz_report_2011,1,2011-01-13,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html,报告回顾段直接给出但取整到万人次
2010,2010,annual,tourism_direct_income,7.104247,100m_cny,inferred_from_yoy,direct_income,gov_jz_bulletin_2011,2,2012-01-25,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,由2011年9.2亿元及同比29.5%反推
2010,2010,annual,tourism_comprehensive_income,35.521236,100m_cny,inferred_from_yoy,comprehensive_income,gov_jz_bulletin_2011,2,2012-01-25,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,由2011年46亿元及同比29.5%反推
2011,2011,annual,tourist_visits,1098.6,10k_persons,observed,all_visitors,gov_jz_bulletin_2011,1,2012-01-25,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,
2011,2011,annual,tourism_direct_income,9.2,100m_cny,observed,direct_income,gov_jz_bulletin_2011,1,2012-01-25,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,
2011,2011,annual,tourism_comprehensive_income,46,100m_cny,observed,comprehensive_income,gov_jz_bulletin_2011,1,2012-01-25,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,
2012,2012,annual,tourist_visits,1152,10k_persons,observed_rounded,all_visitors,gov_jz_report_2013,1,2013-01-15,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202990.html,2013年政府工作报告的2012年回顾段
2012,2012,annual,tourism_comprehensive_income,52,100m_cny,observed_rounded,comprehensive_income,gov_jz_report_2013,1,2013-01-15,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202990.html,2013年政府工作报告的2012年回顾段
2013,2013,annual,tourist_visits,1295,10k_persons,observed_cached,all_visitors,gov_jz_tourism_summary_2013,2,2013-12-31,2026-08-17,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qjjg/whhlyj2/202012/t20201227_5212681.html,官方详情页当前已撤稿；由官方目录和同URL搜索索引复核
2013,2013,annual,tourism_direct_income,12.63,100m_cny,observed_cached,direct_income,gov_jz_tourism_summary_2013,2,2013-12-31,2026-08-17,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qjjg/whhlyj2/202012/t20201227_5212681.html,官方详情页当前已撤稿；由官方目录和同URL搜索索引复核
