year,preferred_visitor_10k_persons,visitor_status,visitor_model_10k_persons,visitor_data_role,visitor_imputation_method,visitor_low,visitor_high,preferred_comprehensive_income_100m_cny,comprehensive_status,income_model_100m_cny,income_data_role,income_imputation_method,income_low,income_high,preferred_gdp_100m_cny,gdp_status,preferred_tertiary_100m_cny,tertiary_status,per_visit_spend_yuan,guest_rooms,beds,room_revenue,all_resident_disposable_income,social_retail_sales,road_mileage,general_public_budget_expenditure,culture_tourism_sports_media_expenditure,pandemic_dummy,recovery_dummy,macro_scope_break_dummy,supply_scope_break_dummy,anomaly_flag,anomaly_treatment,ln_visitor_model_10k_persons,z_visitor_model_10k_persons,minmax_visitor_model_10k_persons,ln_income_model_100m_cny,z_income_model_100m_cny,minmax_income_model_100m_cny,ln_preferred_gdp_100m_cny,z_preferred_gdp_100m_cny,minmax_preferred_gdp_100m_cny,ln_preferred_tertiary_100m_cny,z_preferred_tertiary_100m_cny,minmax_preferred_tertiary_100m_cny,ln_per_visit_spend_yuan,z_per_visit_spend_yuan,minmax_per_visit_spend_yuan
2010,848.000000,observed_rounded,848.000000,official_preferred,,848.000000,848.000000,35.521236,inferred_from_yoy,35.521236,official_preferred,,35.521236,35.521236,215.470000,official_yearbook,136.230000,official_yearbook,418.882500,,,,,,,,,0,0,0,0,,保留,6.742881,-1.622209,0.000000,3.570131,-1.377234,0.000000,5.372822,-1.548417,0.000000,4.914345,-1.403584,0.000000,6.037590,-1.215875,0.000402
2011,1098.600000,observed,1098.600000,official_preferred,,1098.600000,1098.600000,46.000000,observed,46.000000,official_preferred,,46.000000,46.000000,250.110000,official_yearbook,147.020000,official_yearbook,418.714728,,,,,,,,,0,0,0,0,,保留,7.001792,-1.240984,0.128381,3.828641,-1.197209,0.056496,5.521901,-0.938473,0.197864,4.990569,-1.078010,0.104982,6.037190,-1.217189,0.000000
2012,1152.000000,observed_rounded,1152.000000,official_preferred,,1152.000000,1152.000000,52.000000,observed_rounded,52.000000,official_preferred,,52.000000,52.000000,291.520000,official_yearbook,168.360000,official_yearbook,451.388889,2587.000000,5248.000000,8462.800000,,,,,,0,0,0,0,,保留,7.049255,-1.159750,0.155738,3.951244,-1.094129,0.088844,5.675109,-0.209323,0.434398,5.126105,-0.434105,0.312609,6.112329,-0.961221,0.078270
2013,1295.000000,observed_cached,1295.000000,official_preferred,,1295.000000,1295.000000,63.200000,observed_cached,63.200000,official_preferred,,63.200000,63.200000,316.840000,official_yearbook,184.980000,official_yearbook,488.030888,3624.000000,7350.000000,12247.000000,,,,,,0,0,0,0,,保留,7.166266,-0.942211,0.228996,4.146304,-0.901712,0.149229,5.758397,0.236514,0.579026,5.220248,0.067380,0.474314,6.190379,-0.674170,0.166044
2014,1553.400000,observed_revised,1553.400000,official_preferred,,1553.400000,1553.400000,79.000000,observed,79.000000,official_preferred,,79.000000,79.000000,350.910000,official_yearbook,205.270000,official_yearbook,508.561864,3739.000000,7589.000000,9777.600000,,154.226160,,,,0,0,0,0,,保留,7.348201,-0.549121,0.361373,4.369448,-0.630268,0.234414,5.860530,0.836421,0.773633,5.324326,0.679603,0.671726,6.231587,-0.513331,0.215225
2015,1818.720000,observed_revised,1818.720000,official_preferred,,1818.720000,1818.720000,94.000000,observed_supporting_attachment,94.000000,official_preferred,,94.000000,94.000000,390.540000,official_yearbook,239.010000,official_yearbook,516.847013,4008.000000,7936.000000,12642.800000,,178.183900,,,,0,0,0,0,,保留,7.505888,-0.145503,0.497295,4.543295,-0.372568,0.315285,5.967530,1.534229,1.000000,5.476505,1.697661,1.000000,6.247747,-0.448426,0.235072
2016,2086.000000,observed_revised,2086.000000,official_preferred,,2086.000000,2086.000000,,,108.786600,algebraic_derived_diagnostic,130/1.195（取整值反推，仅诊断）,104.000000,113.800000,386.540000,official_yearbook,228.440000,official_yearbook,521.508150,6744.000000,16386.000000,12261.300000,,184.352600,,,,0,0,0,1,,保留,7.643004,0.261096,0.634221,4.689388,-0.118534,0.395007,5.957235,1.463797,0.977152,5.431274,1.378726,0.897159,6.256725,-0.411911,0.246238
2017,2392.000000,observed,2392.000000,official_preferred,,2392.000000,2392.000000,130.000000,observed_rounded,130.000000,official_preferred,,130.000000,130.000000,365.420000,official_yearbook,213.380000,official_yearbook,543.478261,1402.000000,2772.000000,5855.000000,24989.000000,188.817000,,,,0,0,0,1,,保留,7.779885,0.726597,0.790984,4.867534,0.245913,0.509378,5.901047,1.091914,0.856515,5.363075,0.924311,0.750632,6.297990,-0.239798,0.298866
2018,2660.000000,observed_rounded,2660.000000,official_preferred,,2660.000000,2660.000000,142.000000,observed_rounded,142.000000,official_preferred,,142.000000,142.000000,381.660000,official_yearbook,234.320000,official_yearbook,533.834586,1402.000000,2596.000000,6772.300000,,,,,,0,0,0,0,,保留,7.886081,1.134292,0.928279,4.955827,0.452073,0.574075,5.944530,1.377869,0.949277,5.456688,1.556147,0.954369,6.280086,-0.315346,0.275765
2019,2800.000000,observed_rounded,2800.000000,official_preferred,,2800.000000,2800.000000,165.000000,observed_rounded,165.000000,official_preferred,,165.000000,165.000000,219.620000,official_yearbook,136.910000,official_yearbook,589.285714,1391.000000,2600.000000,6538.400000,28568.000000,,3073.000000,,,0,0,1,0,GDP、第三产业增加值,保留；在模型中使用疫情/恢复/口径断点哑变量并做稳健性检验,7.937375,1.347266,1.000000,5.105945,0.847213,0.698079,5.391899,-1.475343,0.023705,4.919324,-1.383066,0.006616,6.378911,0.119055,0.408596
