year,metric,metric_cn,log_yoy,yoy_percent,z_score,iqr_lower,iqr_upper,iqr_flag,z_flag,final_flag,treatment
2011,visitor_model_10k_persons,游客量,0.258911,29.551887,0.633023,-0.139275,0.319407,False,False,False,保留
2012,visitor_model_10k_persons,游客量,0.047463,4.860732,-0.102727,-0.139275,0.319407,False,False,False,保留
2013,visitor_model_10k_persons,游客量,0.117011,12.413194,0.139271,-0.139275,0.319407,False,False,False,保留
2014,visitor_model_10k_persons,游客量,0.181935,19.953668,0.365179,-0.139275,0.319407,False,False,False,保留
2015,visitor_model_10k_persons,游客量,0.157687,17.079954,0.280805,-0.139275,0.319407,False,False,False,保留
2016,visitor_model_10k_persons,游客量,0.137115,14.696050,0.209225,-0.139275,0.319407,False,False,False,保留
2017,visitor_model_10k_persons,游客量,0.136881,14.669223,0.208411,-0.139275,0.319407,False,False,False,保留
2018,visitor_model_10k_persons,游客量,0.106196,11.204013,0.101640,-0.139275,0.319407,False,False,False,保留
2019,visitor_model_10k_persons,游客量,0.051293,5.263158,-0.089399,-0.139275,0.319407,False,False,False,保留
2020,visitor_model_10k_persons,游客量,-0.143310,-13.351449,-0.766535,-0.139275,0.319407,True,False,True,保留并设置结构/口径哑变量
2021,visitor_model_10k_persons,游客量,-0.309989,-26.654508,-1.346507,-0.139275,0.319407,True,False,True,保留并设置结构/口径哑变量
2022,visitor_model_10k_persons,游客量,-0.553071,-42.481946,-2.192329,-0.139275,0.319407,True,False,True,保留并设置结构/口径哑变量
2023,visitor_model_10k_persons,游客量,0.836683,130.869615,2.643420,-0.139275,0.319407,True,False,True,保留并设置结构/口径哑变量
2024,visitor_model_10k_persons,游客量,0.111983,11.849344,0.121774,-0.139275,0.319407,False,False,False,保留
2025,visitor_model_10k_persons,游客量,0.017998,1.816118,-0.205252,-0.139275,0.319407,False,False,False,保留
2011,income_model_100m_cny,旅游综合收入,0.258511,29.499998,0.365235,-0.208308,0.423550,False,False,False,保留
2012,income_model_100m_cny,旅游综合收入,0.122602,13.043478,0.007376,-0.208308,0.423550,False,False,False,保留
2013,income_model_100m_cny,旅游综合收入,0.195061,21.538462,0.198165,-0.208308,0.423550,False,False,False,保留
