metric,unit,model,selected_ml_model,year,forecast,backtest_stress_lower,backtest_stress_upper,calibration_max_absolute_log_error,interval_note,native_gp_forecast,native_gp_interval95_lower,native_gp_interval95_upper,conditional_bayesian_forecast,conditional_bayesian_interval95_lower,conditional_bayesian_interval95_upper
tourist_visits,10k_persons,bayesian_ridge,False,2025,3056.603965,1401.947456,6664.178286,0.779442,max rolling-origin absolute log error envelope; no coverage guarantee,,,,3056.603965,2756.520650,3389.355271
tourist_visits,10k_persons,bayesian_ridge,False,2026,3494.598755,1602.838932,7619.118934,0.779442,max rolling-origin absolute log error envelope; no coverage guarantee,,,,3494.598755,3146.130430,3881.663754
tourist_visits,10k_persons,bayesian_ridge,False,2027,3995.355825,1832.517068,8710.897402,0.779442,max rolling-origin absolute log error envelope; no coverage guarantee,,,,3995.355825,3587.930643,4449.045914
tourist_visits,10k_persons,bayesian_ridge,False,2028,4567.868671,2095.106837,9959.121811,0.779442,max rolling-origin absolute log error envelope; no coverage guarantee,,,,4567.868671,4088.715250,5103.173717
tourist_visits,10k_persons,bayesian_ridge,False,2029,5222.419507,2395.324297,11386.210016,0.779442,max rolling-origin absolute log error envelope; no coverage guarantee,,,,5222.419507,4656.213014,5857.478045
tourist_visits,10k_persons,bayesian_ridge,False,2030,5970.763931,2738.561293,13017.792230,0.779442,max rolling-origin absolute log error envelope; no coverage guarantee,,,,5970.763931,5299.213040,6727.418138
tourism_comprehensive_income,100m_cny,bayesian_ridge,False,2025,265.046958,119.066896,590.003540,0.800222,max rolling-origin absolute log error envelope; no coverage guarantee,,,,265.046958,227.061447,309.387132
tourism_comprehensive_income,100m_cny,bayesian_ridge,False,2026,313.661204,140.905846,698.220504,0.800222,max rolling-origin absolute log error envelope; no coverage guarantee,,,,313.661204,268.001961,367.099368
tourism_comprehensive_income,100m_cny,bayesian_ridge,False,2027,371.192152,166.750441,826.286351,0.800222,max rolling-origin absolute log error envelope; no coverage guarantee,,,,371.192152,315.936031,436.112378
tourism_comprehensive_income,100m_cny,bayesian_ridge,False,2028,439.275282,197.335388,977.841713,0.800222,max rolling-origin absolute log error envelope; no coverage guarantee,,,,439.275282,372.018146,518.691831
tourism_comprehensive_income,100m_cny,bayesian_ridge,False,2029,519.846049,233.530148,1157.194978,0.800222,max rolling-origin absolute log error envelope; no coverage guarantee,,,,519.846049,437.598785,617.551793
tourism_comprehensive_income,100m_cny,bayesian_ridge,False,2030,615.194902,276.363659,1369.444768,0.800222,max rolling-origin absolute log error envelope; no coverage guarantee,,,,615.194902,514.257866,735.943566
