metric,model,n_folds,first_test_year,last_test_year,mae,rmse,mape_percent,smape_percent,median_absolute_percentage_error,max_absolute_log_error,smape_skill_vs_naive,eligible_for_primary_ml,beats_naive_smape,selected_ml_model,recommended_point_model
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,7,2015,2024,22.52521248,31.52713131,17.36036819,15.07618970,8.74594228,0.52153182,0.41905229,True,True,False,True
tourism_comprehensive_income,gaussian_process,7,2015,2024,26.89914703,43.51883924,20.09352519,15.56246702,5.91753907,0.62746221,0.40031402,False,True,False,False
tourism_comprehensive_income,ridge_regime,7,2015,2024,36.79970296,59.48957205,27.42719569,19.72563860,8.38018974,0.78893079,0.23988987,True,True,True,False
tourism_comprehensive_income,robust_ml_ensemble,7,2015,2024,46.42923566,74.97671909,32.49654927,22.83351624,9.50379545,0.79144119,0.12013053,True,True,False,False
tourism_comprehensive_income,huber_regime,7,2015,2024,46.93939292,75.05839678,32.86066453,23.17403726,10.82350826,0.79144119,0.10700886,True,True,False,False
tourism_comprehensive_income,bayesian_ridge,7,2015,2024,47.78661899,77.30387512,33.31540204,23.25045809,9.50379545,0.80022153,0.10406405,True,True,False,False
tourism_comprehensive_income,naive_last,7,2015,2024,36.00000000,42.64722399,24.56385938,25.95102699,15.95744681,0.55440744,0.00000000,False,False,False,False
tourism_comprehensive_income,svr_rbf,7,2015,2024,35.14271232,40.14653534,22.76756837,26.17932192,18.96283751,0.48155809,-0.00879714,False,False,False,False
tourism_comprehensive_income,random_forest,7,2015,2024,39.69159823,41.43561564,26.94318136,29.24388517,23.91573323,0.40382746,-0.12688739,False,False,False,False
tourism_comprehensive_income,spline_ridge,7,2015,2024,54.37342681,61.28031308,35.03790248,44.35805671,34.29736839,0.81204110,-0.70929870,True,False,False,False
tourist_visits,raw_target_ridge_alpha_0.1,7,2015,2024,298.72298825,513.81125843,12.86533994,11.33413682,7.95978917,0.44154074,0.08748729,True,True,False,True
tourist_visits,naive_last,7,2015,2024,280.51428571,291.85669204,12.05094483,12.42079883,12.79264214,0.16968742,0.00000000,False,False,False,False
tourist_visits,gaussian_process,7,2015,2024,415.06182549,857.04460547,17.51355618,13.14740142,3.54869871,0.66557230,-0.05849886,False,False,False,False
tourist_visits,ridge_regime,7,2015,2024,480.47019058,1063.60986267,20.03844146,13.67267914,3.19756767,0.77991854,-0.10078903,True,False,True,False
tourist_visits,robust_ml_ensemble,7,2015,2024,480.53105941,1063.61336440,20.04074448,13.67492976,3.19756767,0.77991854,-0.10097023,True,False,False,False
tourist_visits,bayesian_ridge,7,2015,2024,481.99283375,1062.75768007,20.11969030,13.76538918,3.60869246,0.77944217,-0.10825313,True,False,False,False
tourist_visits,huber_regime,7,2015,2024,526.37388586,1145.80179196,21.81769819,14.61274241,2.81272410,0.82002706,-0.17647364,True,False,False,False
tourist_visits,random_forest,7,2015,2024,346.13784722,357.01115731,14.95062461,16.00803307,15.80252888,0.23201823,-0.28880866,False,False,False,False
tourist_visits,svr_rbf,7,2015,2024,349.21636955,368.30517859,14.95499349,16.34445358,14.76535096,0.28832798,-0.31589391,False,False,False,False
tourist_visits,spline_ridge,7,2015,2024,663.90755732,670.88693571,27.84842285,32.41391097,28.47097550,0.36510895,-1.60964785,True,False,False,False
