metric,model,test_regime,n_folds,test_years,mae,mape_percent,smape_percent
tourism_comprehensive_income,spline_ridge,pandemic,1,2021,7.82537354,7.11397595,7.37635190
tourism_comprehensive_income,svr_rbf,pandemic,1,2021,14.14020062,12.85472784,12.07840481
tourism_comprehensive_income,random_forest,pandemic,1,2021,42.92936828,39.02669843,32.65467723
tourism_comprehensive_income,naive_last,pandemic,1,2021,55.00000000,50.00000000,40.00000000
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,pandemic,1,2021,75.30668003,68.46061821,51.00235459
tourism_comprehensive_income,gaussian_process,pandemic,1,2021,96.01368000,87.28516364,60.76552129
tourism_comprehensive_income,ridge_regime,pandemic,1,2021,132.11459710,120.10417918,75.04068175
tourism_comprehensive_income,huber_regime,pandemic,1,2021,132.72316408,120.65742189,75.25627891
tourism_comprehensive_income,robust_ml_ensemble,pandemic,1,2021,132.72316408,120.65742189,75.25627891
tourism_comprehensive_income,bayesian_ridge,pandemic,1,2021,134.86373991,122.60339991,76.00874631
tourism_comprehensive_income,gaussian_process,pre_covid,4,2015;2017;2018;2019,7.11804436,5.07195785,4.84315764
tourism_comprehensive_income,ridge_regime,pre_covid,4,2015;2017;2018;2019,10.04702993,6.89378157,6.57254927
tourism_comprehensive_income,robust_ml_ensemble,pre_covid,4,2015;2017;2018;2019,10.52624048,7.18677776,6.84131898
tourism_comprehensive_income,bayesian_ridge,pre_covid,4,2015;2017;2018;2019,10.54515444,7.19786683,6.85036032
tourism_comprehensive_income,huber_regime,pre_covid,4,2015;2017;2018;2019,11.41901570,7.82397948,7.43723077
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,pre_covid,4,2015;2017;2018;2019,11.42737844,8.74400148,9.19919975
tourism_comprehensive_income,naive_last,pre_covid,4,2015;2017;2018;2019,21.50000000,16.50996317,18.32278509
tourism_comprehensive_income,svr_rbf,pre_covid,4,2015;2017;2018;2019,29.42614668,22.44081741,25.87499168
tourism_comprehensive_income,random_forest,pre_covid,4,2015;2017;2018;2019,31.32999143,24.00096143,27.51329609
tourism_comprehensive_income,spline_ridge,pre_covid,4,2015;2017;2018;2019,51.90712364,38.99897050,48.87439514
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,recovery,2,2023;2024,18.33014677,9.04297660,8.86708716
tourism_comprehensive_income,gaussian_process,recovery,2,2023;2024,31.90408591,16.54084067,14.39955864
tourism_comprehensive_income,ridge_regime,recovery,2,2023;2024,42.64760194,22.15553217,18.37429570
tourism_comprehensive_income,huber_regime,recovery,2,2023;2024,75.08826179,39.03565597,28.60652943
tourism_comprehensive_income,robust_ml_ensemble,recovery,2,2023;2024,75.08826179,39.03565597,28.60652943
tourism_comprehensive_income,bayesian_ridge,recovery,2,2023;2024,78.73098762,40.90647353,29.67150953
tourism_comprehensive_income,random_forest,recovery,2,2023;2024,54.79592680,26.78586269,30.99966729
tourism_comprehensive_income,svr_rbf,recovery,2,2023;2024,57.07709944,28.37749055,33.83844097
tourism_comprehensive_income,naive_last,recovery,2,2023;2024,55.50000000,27.95358151,34.18302427
tourism_comprehensive_income,spline_ridge,recovery,2,2023;2024,82.58005976,41.07772970,53.81623226
tourist_visits,ridge_regime,pre_covid,5,2015;2016;2017;2018;2019,102.18334886,3.96651522,3.83259657
tourist_visits,robust_ml_ensemble,pre_covid,5,2015;2016;2017;2018;2019,102.18334886,3.96651522,3.83259657
tourist_visits,bayesian_ridge,pre_covid,5,2015;2016;2017;2018;2019,104.72079013,4.09781623,3.96745412
tourist_visits,huber_regime,pre_covid,5,2015;2016;2017;2018;2019,121.58812051,4.57100708,4.36372951
tourist_visits,gaussian_process,pre_covid,5,2015;2016;2017;2018;2019,127.72535161,5.36214893,5.31921763
tourist_visits,raw_target_ridge_alpha_0.1,pre_covid,5,2015;2016;2017;2018;2019,146.29998388,6.54731107,6.81225799
tourist_visits,naive_last,pre_covid,5,2015;2016;2017;2018;2019,249.32000000,11.05383026,11.76617463
tourist_visits,svr_rbf,pre_covid,5,2015;2016;2017;2018;2019,288.48012899,12.82310863,13.78992967
tourist_visits,random_forest,pre_covid,5,2015;2016;2017;2018;2019,385.02678726,16.86176283,18.49339637
tourist_visits,spline_ridge,pre_covid,5,2015;2016;2017;2018;2019,681.27234001,28.99473659,33.92458569
tourist_visits,random_forest,recovery,2,2023;2024,248.91549713,10.17277906,9.79462481
tourist_visits,naive_last,recovery,2,2023;2024,358.50000000,14.54373124,14.05735933
tourist_visits,raw_target_ridge_alpha_0.1,recovery,2,2023;2024,679.78049917,28.66041210,22.63883389
tourist_visits,svr_rbf,recovery,2,2023;2024,501.05697095,20.28470563,22.73076338
tourist_visits,spline_ridge,recovery,2,2023;2024,620.49560060,24.98263849,28.63722415
tourist_visits,gaussian_process,recovery,2,2023;2024,1133.40301021,47.89207433,32.71786090
tourist_visits,bayesian_ridge,recovery,2,2023;2024,1425.17294278,60.17437548,38.26022682
tourist_visits,ridge_regime,recovery,2,2023;2024,1426.18729488,60.21825706,38.27288558
tourist_visits,robust_ml_ensemble,recovery,2,2023;2024,1426.40033580,60.22631763,38.28076273
tourist_visits,huber_regime,recovery,2,2023;2024,1538.33829924,64.93442596,40.23527465
