metric,model,feature,permutation_importance_log_mae,importance_std,warning
tourist_visits,ridge_regime,year_index,0.60052689,0.12120571,in-sample exploratory importance; correlated time features
tourist_visits,ridge_regime,pandemic_2020_2022,0.00000000,0.00000000,in-sample exploratory importance; correlated time features
tourist_visits,ridge_regime,post_2022,0.20932524,0.06411927,in-sample exploratory importance; correlated time features
tourist_visits,bayesian_ridge,year_index,0.60064578,0.12122600,in-sample exploratory importance; correlated time features
tourist_visits,bayesian_ridge,pandemic_2020_2022,0.00000000,0.00000000,in-sample exploratory importance; correlated time features
tourist_visits,bayesian_ridge,post_2022,0.20940184,0.06414272,in-sample exploratory importance; correlated time features
tourist_visits,huber_regime,year_index,0.61133045,0.12298234,in-sample exploratory importance; correlated time features
tourist_visits,huber_regime,pandemic_2020_2022,0.00000000,0.00000000,in-sample exploratory importance; correlated time features
tourist_visits,huber_regime,post_2022,0.21611223,0.06624006,in-sample exploratory importance; correlated time features
tourist_visits,spline_ridge,year_index,0.35576565,0.08404621,in-sample exploratory importance; correlated time features
tourist_visits,spline_ridge,pandemic_2020_2022,0.00000000,0.00000000,in-sample exploratory importance; correlated time features
tourist_visits,spline_ridge,post_2022,0.00071503,0.00116912,in-sample exploratory importance; correlated time features
tourist_visits,svr_rbf,year_index,0.35921489,0.08015862,in-sample exploratory importance; correlated time features
tourist_visits,svr_rbf,pandemic_2020_2022,0.00000000,0.00000000,in-sample exploratory importance; correlated time features
tourist_visits,svr_rbf,post_2022,0.03604511,0.02343379,in-sample exploratory importance; correlated time features
tourist_visits,random_forest,year_index,0.39000391,0.09032391,in-sample exploratory importance; correlated time features
tourist_visits,random_forest,pandemic_2020_2022,0.00000000,0.00000000,in-sample exploratory importance; correlated time features
tourist_visits,random_forest,post_2022,0.00279061,0.00230896,in-sample exploratory importance; correlated time features
tourist_visits,gaussian_process,year_index,0.52313091,0.10127413,in-sample exploratory importance; correlated time features
tourist_visits,gaussian_process,pandemic_2020_2022,0.00000000,0.00000000,in-sample exploratory importance; correlated time features
tourist_visits,gaussian_process,post_2022,0.12197832,0.04031953,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,ridge_regime,year_index,0.60466161,0.13833846,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,ridge_regime,pandemic_2020_2022,0.06869016,0.02397237,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,ridge_regime,post_2022,0.04504392,0.02038216,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,bayesian_ridge,year_index,0.81993113,0.16859724,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,bayesian_ridge,pandemic_2020_2022,0.11745572,0.03711613,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,bayesian_ridge,post_2022,0.15346287,0.04658273,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,huber_regime,year_index,0.79525662,0.16364217,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,huber_regime,pandemic_2020_2022,0.11104179,0.03513931,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,huber_regime,post_2022,0.13790264,0.04236696,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,spline_ridge,year_index,0.47711252,0.11824506,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,spline_ridge,pandemic_2020_2022,0.05461365,0.01948455,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,spline_ridge,post_2022,0.08152815,0.02635748,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,svr_rbf,year_index,0.50027360,0.11276879,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,svr_rbf,pandemic_2020_2022,0.06295610,0.02844617,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,svr_rbf,post_2022,0.07544597,0.04033485,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,random_forest,year_index,0.53530387,0.13390197,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,random_forest,pandemic_2020_2022,0.01258691,0.00520832,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,random_forest,post_2022,0.02583454,0.01071065,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,gaussian_process,year_index,0.71445814,0.14174384,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,gaussian_process,pandemic_2020_2022,0.08107605,0.02791797,in-sample exploratory importance; correlated time features
tourism_comprehensive_income,gaussian_process,post_2022,0.05857697,0.02295383,in-sample exploratory importance; correlated time features
