metric,unit,target_transform,model,year,forecast,interpretation,calibration_max_absolute_log_error,backtest_stress_lower,backtest_stress_upper,recommendation_basis
tourist_visits,10k_persons,raw_additive,raw_target_ridge_alpha_0.1,2025,2841.477300,recommended additive sensitivity path; same time/regime features,0.441541,1827.197470,4418.785262,lower rolling-origin MAPE than selected log-target Ridge; additive path remains a sensitivity
tourist_visits,10k_persons,raw_additive,raw_target_ridge_alpha_0.1,2026,3061.404690,recommended additive sensitivity path; same time/regime features,0.441541,1968.620655,4760.794649,lower rolling-origin MAPE than selected log-target Ridge; additive path remains a sensitivity
tourist_visits,10k_persons,raw_additive,raw_target_ridge_alpha_0.1,2027,3281.332080,recommended additive sensitivity path; same time/regime features,0.441541,2110.043840,5102.804036,lower rolling-origin MAPE than selected log-target Ridge; additive path remains a sensitivity
tourist_visits,10k_persons,raw_additive,raw_target_ridge_alpha_0.1,2028,3501.259470,recommended additive sensitivity path; same time/regime features,0.441541,2251.467025,5444.813422,lower rolling-origin MAPE than selected log-target Ridge; additive path remains a sensitivity
tourist_visits,10k_persons,raw_additive,raw_target_ridge_alpha_0.1,2029,3721.186860,recommended additive sensitivity path; same time/regime features,0.441541,2392.890210,5786.822809,lower rolling-origin MAPE than selected log-target Ridge; additive path remains a sensitivity
tourist_visits,10k_persons,raw_additive,raw_target_ridge_alpha_0.1,2030,3941.114250,recommended additive sensitivity path; same time/regime features,0.441541,2534.313395,6128.832196,lower rolling-origin MAPE than selected log-target Ridge; additive path remains a sensitivity
tourism_comprehensive_income,100m_cny,raw_additive,raw_target_ridge_alpha_0.1,2025,227.614895,recommended additive sensitivity path; same time/regime features,0.521532,135.114603,383.441459,lower rolling-origin MAPE than selected log-target Ridge; additive path remains a sensitivity
tourism_comprehensive_income,100m_cny,raw_additive,raw_target_ridge_alpha_0.1,2026,241.796984,recommended additive sensitivity path; same time/regime features,0.521532,143.533240,407.332694,lower rolling-origin MAPE than selected log-target Ridge; additive path remains a sensitivity
tourism_comprehensive_income,100m_cny,raw_additive,raw_target_ridge_alpha_0.1,2027,255.979073,recommended additive sensitivity path; same time/regime features,0.521532,151.951878,431.223928,lower rolling-origin MAPE than selected log-target Ridge; additive path remains a sensitivity
tourism_comprehensive_income,100m_cny,raw_additive,raw_target_ridge_alpha_0.1,2028,270.161162,recommended additive sensitivity path; same time/regime features,0.521532,160.370515,455.115163,lower rolling-origin MAPE than selected log-target Ridge; additive path remains a sensitivity
tourism_comprehensive_income,100m_cny,raw_additive,raw_target_ridge_alpha_0.1,2029,284.343251,recommended additive sensitivity path; same time/regime features,0.521532,168.789153,479.006398,lower rolling-origin MAPE than selected log-target Ridge; additive path remains a sensitivity
tourism_comprehensive_income,100m_cny,raw_additive,raw_target_ridge_alpha_0.1,2030,298.525340,recommended additive sensitivity path; same time/regime features,0.521532,177.207791,502.897633,lower rolling-origin MAPE than selected log-target Ridge; additive path remains a sensitivity
