metric,model,year,forecast,mean_ci95_lower,mean_ci95_upper,prediction_interval95_lower,prediction_interval95_upper
tourist_visits,post_2022_level_break,2026,3496.172858,3229.475289,3784.894931,3065.973795,3986.734873
tourist_visits,post_2022_level_break,2027,3998.691308,3675.834178,4349.905736,3496.227588,4573.367087
tourist_visits,post_2022_level_break,2028,4573.438679,4178.826557,5005.314546,3983.300655,5251.007434
tourist_visits,post_2022_level_break,2029,5230.796714,4745.972101,5765.148568,4534.507745,6034.003204
tourist_visits,post_2022_level_break,2030,5982.639362,5385.849092,6645.558225,5158.158659,6938.905159
tourism_comprehensive_income,post_2022_level_break,2026,314.255610,288.621695,342.166199,273.030821,361.704909
tourism_comprehensive_income,post_2022_level_break,2027,372.292292,340.109026,407.520942,322.393812,429.913805
tourism_comprehensive_income,post_2022_level_break,2028,441.047180,400.251999,486.000358,380.308059,511.486964
tourism_comprehensive_income,post_2022_level_break,2029,522.499711,470.526483,580.213777,448.222570,609.085678
tourism_comprehensive_income,post_2022_level_break,2030,618.994884,552.668441,693.281248,527.836299,725.896774
