metric,model,year,forecast,mean_ci95_lower,mean_ci95_upper,prediction_interval95_lower,prediction_interval95_upper
tourist_visits,pre_covid_exponential,2025,6752.136941,5901.350192,7725.580043,5665.849384,8046.693475
tourist_visits,pre_covid_exponential,2026,7723.692233,6670.166557,8943.618005,6420.784931,9290.985816
tourist_visits,pre_covid_exponential,2027,8835.043222,7538.677703,10354.334250,7273.852242,10731.313498
tourist_visits,pre_covid_exponential,2028,10106.304910,8519.861683,11988.152242,8237.870142,12398.520148
tourist_visits,pre_covid_exponential,2029,11560.486617,9628.374381,13880.313075,9327.324310,14328.316072
tourist_visits,pre_covid_exponential,2030,13223.908442,10880.769456,16071.634933,10558.583221,16562.047278
tourist_visits,no_break_log_linear,2025,3620.863389,2664.657757,4920.200971,2092.433727,6265.742860
tourist_visits,no_break_log_linear,2026,3921.912557,2806.263171,5481.096095,2230.014457,6897.443225
tourist_visits,no_break_log_linear,2027,4247.991833,2954.098193,6108.610289,2373.837884,7601.797383
tourist_visits,no_break_log_linear,2028,4601.182294,3108.655415,6810.300812,2524.214889,8387.114185
tourist_visits,no_break_log_linear,2029,4983.738042,3270.408286,7594.661797,2681.484366,9262.647652
tourist_visits,no_break_log_linear,2030,5398.100593,3439.822561,8471.218935,2846.011845,10238.710028
tourist_visits,post_2022_level_break,2025,3056.806267,2833.230696,3298.024608,2686.101994,3478.670794
tourist_visits,post_2022_level_break,2026,3496.172858,3229.475289,3784.894931,3065.973795,3986.734873
tourist_visits,post_2022_level_break,2027,3998.691308,3675.834178,4349.905736,3496.227588,4573.367087
tourist_visits,post_2022_level_break,2028,4573.438679,4178.826557,5005.314546,3983.300655,5251.007434
tourist_visits,post_2022_level_break,2029,5230.796714,4745.972101,5765.148568,4534.507745,6034.003204
tourist_visits,post_2022_level_break,2030,5982.639362,5385.849092,6645.558225,5158.158659,6938.905159
tourist_visits,strict_evidence_level_break,2025,3053.167848,2822.637459,3302.526111,2671.449184,3489.429620
tourist_visits,strict_evidence_level_break,2026,3489.239972,3214.155144,3787.868052,3046.431878,3996.411563
tourist_visits,strict_evidence_level_break,2027,3987.594586,3654.398295,4351.170644,3470.527005,4581.699137
tourist_visits,strict_evidence_level_break,2028,4557.127257,4149.646704,5004.620951,3949.917930,5257.681097
tourist_visits,strict_evidence_level_break,2029,5208.004070,4707.147453,5762.153547,4491.627315,6038.636889
tourist_visits,strict_evidence_level_break,2030,5951.843095,5335.159764,6639.807952,5103.627956,6941.030289
tourism_comprehensive_income,pre_covid_exponential,2025,483.177449,415.635683,561.694910,398.154328,586.356673
tourism_comprehensive_income,pre_covid_exponential,2026,572.504324,486.049781,674.336692,466.888561,702.011633
tourism_comprehensive_income,pre_covid_exponential,2027,678.345403,568.353354,809.623946,547.292089,840.780443
tourism_comprehensive_income,pre_covid_exponential,2028,803.753729,664.556871,972.106504,641.344692,1007.289940
tourism_comprehensive_income,pre_covid_exponential,2029,952.346775,777.010002,1167.249297,751.361471,1207.094606
tourism_comprehensive_income,pre_covid_exponential,2030,1128.410789,908.459027,1401.616221,880.049527,1446.862784
tourism_comprehensive_income,no_break_log_linear,2025,298.767752,233.025773,383.057068,192.045225,464.797650
tourism_comprehensive_income,no_break_log_linear,2026,339.678289,259.063735,445.378199,215.526806,535.345658
tourism_comprehensive_income,no_break_log_linear,2027,386.190743,287.902730,518.033607,241.650232,617.186619
tourism_comprehensive_income,no_break_log_linear,2028,439.072189,319.857627,602.719368,270.705362,712.155775
tourism_comprehensive_income,no_break_log_linear,2029,499.194739,355.275706,701.414093,303.014678,822.387181
tourism_comprehensive_income,no_break_log_linear,2030,567.549923,394.540715,816.425032,338.936802,950.362763
tourism_comprehensive_income,post_2022_level_break,2025,265.266272,244.541811,287.747092,230.983053,304.637912
tourism_comprehensive_income,post_2022_level_break,2026,314.255610,288.621695,342.166199,273.030821,361.704909
tourism_comprehensive_income,post_2022_level_break,2027,372.292292,340.109026,407.520942,322.393812,429.913805
tourism_comprehensive_income,post_2022_level_break,2028,441.047180,400.251999,486.000358,380.308059,511.486964
tourism_comprehensive_income,post_2022_level_break,2029,522.499711,470.526483,580.213777,448.222570,609.085678
tourism_comprehensive_income,post_2022_level_break,2030,618.994884,552.668441,693.281248,527.836299,725.896774
tourism_comprehensive_income,strict_evidence_level_break,2025,262.901243,242.707380,284.775286,229.720783,300.874228
tourism_comprehensive_income,strict_evidence_level_break,2026,309.599830,284.343568,337.099431,269.680485,355.428221
tourism_comprehensive_income,strict_evidence_level_break,2027,364.593389,332.441763,399.854513,316.136911,420.477125
tourism_comprehensive_income,strict_evidence_level_break,2028,429.355336,388.051450,475.055574,370.113415,498.079769
tourism_comprehensive_income,strict_evidence_level_break,2029,505.620810,452.408422,565.092051,432.805170,590.687037
tourism_comprehensive_income,strict_evidence_level_break,2030,595.433157,526.951880,672.814081,505.606560,701.218442
