metric,model,parameter,estimate,standard_error,t_value,p_value,ci95_lower,ci95_upper,df_resid
tourist_visits,pre_covid_exponential,intercept,6.80111212,0.02864174,237.45456833,0.00000000,6.73506415,6.86716009,8
tourist_visits,pre_covid_exponential,year_index,0.13443348,0.00536509,25.05708029,0.00000001,0.12206156,0.14680540,8
tourist_visits,no_break_log_linear,intercept,6.99646384,0.10171039,68.78809271,0.00000000,6.76983897,7.22308872,10
tourist_visits,no_break_log_linear,year_index,0.07986693,0.01381972,5.77919990,0.00017793,0.04907467,0.11065919,10
tourist_visits,post_2022_level_break,intercept,6.80172073,0.02712291,250.77399962,0.00000000,6.74036444,6.86307702,9
tourist_visits,post_2022_level_break,year_index,0.13429823,0.00507614,26.45678494,0.00000000,0.12281522,0.14578125,9
tourist_visits,post_2022_level_break,post_2022_level,-0.79106829,0.05805466,-13.62626622,0.00000026,-0.92239706,-0.65973952,9
tourist_visits,strict_evidence_level_break,intercept,6.80968704,0.02894580,235.25649377,0.00000000,6.74293791,6.87643617,8
tourist_visits,strict_evidence_level_break,year_index,0.13350425,0.00522227,25.56441553,0.00000001,0.12146168,0.14554682,8
tourist_visits,strict_evidence_level_break,post_2022_level,-0.78831581,0.05890345,-13.38318640,0.00000093,-0.92414740,-0.65248422,8
tourism_comprehensive_income,pre_covid_exponential,intercept,3.63583928,0.03024165,120.22622376,0.00000000,3.56432915,3.70734942,7
tourism_comprehensive_income,pre_covid_exponential,year_index,0.16963631,0.00574946,29.50473864,0.00000001,0.15604100,0.18323163,7
tourism_comprehensive_income,no_break_log_linear,intercept,3.77467993,0.08174337,46.17719927,0.00000000,3.58976358,3.95959629,9
tourism_comprehensive_income,no_break_log_linear,year_index,0.12833244,0.01094119,11.72929064,0.00000093,0.10358174,0.15308314,9
tourism_comprehensive_income,post_2022_level_break,intercept,3.63654880,0.02849085,127.63918834,0.00000000,3.57084879,3.70224882,8
tourism_comprehensive_income,post_2022_level_break,year_index,0.16947258,0.00541117,31.31901307,0.00000000,0.15699439,0.18195076,8
tourism_comprehensive_income,post_2022_level_break,post_2022_level,-0.59790334,0.06245680,-9.57307097,0.00001175,-0.74192897,-0.45387771,8
tourism_comprehensive_income,strict_evidence_level_break,intercept,3.66834562,0.03406638,107.68228371,0.00000000,3.58077521,3.75591604,5
tourism_comprehensive_income,strict_evidence_level_break,year_index,0.16350214,0.00568431,28.76374642,0.00000095,0.14889014,0.17811413,5
tourism_comprehensive_income,strict_evidence_level_break,post_2022_level,-0.54909920,0.05861553,-9.36781096,0.00023361,-0.69977521,-0.39842318,5
