year,scenario,assumption,metric,value,unit
2026,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,tourist_visits,2935.922330,10k_persons
2026,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,tourism_comprehensive_income,249.480000,100m_cny
2026,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,nominal_spend_per_visit,849.750000,cny_per_visit
2027,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,tourist_visits,3078.442832,10k_persons
2027,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,tourism_comprehensive_income,269.438400,100m_cny
2027,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,nominal_spend_per_visit,875.242500,cny_per_visit
2028,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,tourist_visits,3227.881804,10k_persons
2028,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,tourism_comprehensive_income,290.993472,100m_cny
2028,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,nominal_spend_per_visit,901.499775,cny_per_visit
2029,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,tourist_visits,3384.575095,10k_persons
2029,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,tourism_comprehensive_income,314.272950,100m_cny
2029,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,nominal_spend_per_visit,928.544768,cny_per_visit
2030,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,tourist_visits,3548.874857,10k_persons
2030,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,tourism_comprehensive_income,339.414786,100m_cny
2030,baseline_policy_anchor,2025 targets as proxies; revenue +8%/yr; spend per visit +3%/yr,nominal_spend_per_visit,956.401111,cny_per_visit
