data_scope,metric,model,lambda,year,forecast,training_start_year,training_end_year,training_n,uses_2025_as_training,forecast_semantics
harmonized_bridge,jizhou_gdp,ridge_fixed_lambda_0.1,0.1000000000,2026,320.4172915699,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_gdp,ridge_fixed_lambda_0.1,0.1000000000,2027,331.1697958691,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_gdp,ridge_fixed_lambda_0.1,0.1000000000,2028,341.9223001684,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_gdp,ridge_fixed_lambda_0.1,0.1000000000,2029,352.6748044677,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_gdp,ridge_fixed_lambda_0.1,0.1000000000,2030,363.4273087670,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_gdp,ridge_fixed_lambda_0.1,0.1000000000,2026,317.8705101078,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_gdp,ridge_fixed_lambda_0.1,0.1000000000,2027,327.3359455650,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_gdp,ridge_fixed_lambda_0.1,0.1000000000,2028,336.8013810221,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_gdp,ridge_fixed_lambda_0.1,0.1000000000,2029,346.2668164793,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_gdp,ridge_fixed_lambda_0.1,0.1000000000,2030,355.7322519364,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_gdp,ridge_nested_tuned,1.7782794100,2026,312.3501507941,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_gdp,ridge_nested_tuned,1.7782794100,2027,320.8855611297,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_gdp,ridge_nested_tuned,1.7782794100,2028,329.4209714653,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_gdp,ridge_nested_tuned,1.7782794100,2029,337.9563818008,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_gdp,ridge_nested_tuned,1.7782794100,2030,346.4917921364,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_gdp,ridge_nested_tuned,5.6234132519,2026,307.8209891849,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_gdp,ridge_nested_tuned,5.6234132519,2027,309.9502046307,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_gdp,ridge_nested_tuned,5.6234132519,2028,312.0794200765,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_gdp,ridge_nested_tuned,5.6234132519,2029,314.2086355223,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_gdp,ridge_nested_tuned,5.6234132519,2030,316.3378509680,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
