metric,year,unit,source_status,original_value,bridge_factor,bridge_applied,harmonized_value,bridge_anchor_old_2018_value,bridge_anchor_revised_2019_value,bulletin_2019_comparable_price_growth_percent,implied_2018_bridge_anchor,harmonization_method,harmonization_warning
jizhou_gdp,2010,100m_cny,official_yearbook,215.4700000000,0.5635980725,True,121.4384766828,381.6600000000,219.6200000000,2.1000000000,215.1028403526,approximate_fixed_bridge_from_2019_revised_current_value_and_2019_bulletin_comparable_price_growth,"Approximate bridge for sensitivity analysis; not an official current-price backcast. The bulletin growth rate is at comparable prices while the annual levels are at current prices. The 2.1%/4.4% growth rates are from the 2019 bulletin initial release, while the 219.62/136.91 anchors are later-yearbook revised values; no matching finalized growth rates were found, so the bridge also contains a vintage mismatch."
jizhou_gdp,2011,100m_cny,official_yearbook,250.1100000000,0.5635980725,True,140.9615139144,381.6600000000,219.6200000000,2.1000000000,215.1028403526,approximate_fixed_bridge_from_2019_revised_current_value_and_2019_bulletin_comparable_price_growth,"Approximate bridge for sensitivity analysis; not an official current-price backcast. The bulletin growth rate is at comparable prices while the annual levels are at current prices. The 2.1%/4.4% growth rates are from the 2019 bulletin initial release, while the 219.62/136.91 anchors are later-yearbook revised values; no matching finalized growth rates were found, so the bridge also contains a vintage mismatch."
jizhou_gdp,2012,100m_cny,official_yearbook,291.5200000000,0.5635980725,True,164.3001100969,381.6600000000,219.6200000000,2.1000000000,215.1028403526,approximate_fixed_bridge_from_2019_revised_current_value_and_2019_bulletin_comparable_price_growth,"Approximate bridge for sensitivity analysis; not an official current-price backcast. The bulletin growth rate is at comparable prices while the annual levels are at current prices. The 2.1%/4.4% growth rates are from the 2019 bulletin initial release, while the 219.62/136.91 anchors are later-yearbook revised values; no matching finalized growth rates were found, so the bridge also contains a vintage mismatch."
jizhou_gdp,2013,100m_cny,official_yearbook,316.8400000000,0.5635980725,True,178.5704132928,381.6600000000,219.6200000000,2.1000000000,215.1028403526,approximate_fixed_bridge_from_2019_revised_current_value_and_2019_bulletin_comparable_price_growth,"Approximate bridge for sensitivity analysis; not an official current-price backcast. The bulletin growth rate is at comparable prices while the annual levels are at current prices. The 2.1%/4.4% growth rates are from the 2019 bulletin initial release, while the 219.62/136.91 anchors are later-yearbook revised values; no matching finalized growth rates were found, so the bridge also contains a vintage mismatch."
jizhou_gdp,2014,100m_cny,official_yearbook,350.9100000000,0.5635980725,True,197.7721996230,381.6600000000,219.6200000000,2.1000000000,215.1028403526,approximate_fixed_bridge_from_2019_revised_current_value_and_2019_bulletin_comparable_price_growth,"Approximate bridge for sensitivity analysis; not an official current-price backcast. The bulletin growth rate is at comparable prices while the annual levels are at current prices. The 2.1%/4.4% growth rates are from the 2019 bulletin initial release, while the 219.62/136.91 anchors are later-yearbook revised values; no matching finalized growth rates were found, so the bridge also contains a vintage mismatch."
jizhou_gdp,2015,100m_cny,official_yearbook,390.5400000000,0.5635980725,True,220.1075912364,381.6600000000,219.6200000000,2.1000000000,215.1028403526,approximate_fixed_bridge_from_2019_revised_current_value_and_2019_bulletin_comparable_price_growth,"Approximate bridge for sensitivity analysis; not an official current-price backcast. The bulletin growth rate is at comparable prices while the annual levels are at current prices. The 2.1%/4.4% growth rates are from the 2019 bulletin initial release, while the 219.62/136.91 anchors are later-yearbook revised values; no matching finalized growth rates were found, so the bridge also contains a vintage mismatch."
jizhou_gdp,2016,100m_cny,official_yearbook,386.5400000000,0.5635980725,True,217.8531989464,381.6600000000,219.6200000000,2.1000000000,215.1028403526,approximate_fixed_bridge_from_2019_revised_current_value_and_2019_bulletin_comparable_price_growth,"Approximate bridge for sensitivity analysis; not an official current-price backcast. The bulletin growth rate is at comparable prices while the annual levels are at current prices. The 2.1%/4.4% growth rates are from the 2019 bulletin initial release, while the 219.62/136.91 anchors are later-yearbook revised values; no matching finalized growth rates were found, so the bridge also contains a vintage mismatch."
jizhou_gdp,2017,100m_cny,official_yearbook,365.4200000000,0.5635980725,True,205.9500076551,381.6600000000,219.6200000000,2.1000000000,215.1028403526,approximate_fixed_bridge_from_2019_revised_current_value_and_2019_bulletin_comparable_price_growth,"Approximate bridge for sensitivity analysis; not an official current-price backcast. The bulletin growth rate is at comparable prices while the annual levels are at current prices. The 2.1%/4.4% growth rates are from the 2019 bulletin initial release, while the 219.62/136.91 anchors are later-yearbook revised values; no matching finalized growth rates were found, so the bridge also contains a vintage mismatch."
jizhou_gdp,2018,100m_cny,official_yearbook,381.6600000000,0.5635980725,True,215.1028403526,381.6600000000,219.6200000000,2.1000000000,215.1028403526,approximate_fixed_bridge_from_2019_revised_current_value_and_2019_bulletin_comparable_price_growth,"Approximate bridge for sensitivity analysis; not an official current-price backcast. The bulletin growth rate is at comparable prices while the annual levels are at current prices. The 2.1%/4.4% growth rates are from the 2019 bulletin initial release, while the 219.62/136.91 anchors are later-yearbook revised values; no matching finalized growth rates were found, so the bridge also contains a vintage mismatch."
jizhou_gdp,2019,100m_cny,official_yearbook,219.6200000000,0.5635980725,False,219.6200000000,381.6600000000,219.6200000000,2.1000000000,215.1028403526,approximate_fixed_bridge_from_2019_revised_current_value_and_2019_bulletin_comparable_price_growth,"Approximate bridge for sensitivity analysis; not an official current-price backcast. The bulletin growth rate is at comparable prices while the annual levels are at current prices. The 2.1%/4.4% growth rates are from the 2019 bulletin initial release, while the 219.62/136.91 anchors are later-yearbook revised values; no matching finalized growth rates were found, so the bridge also contains a vintage mismatch."
