source_artifact,track,metric,model,year,value_name,before_macro_harmonization,after_macro_harmonization,delta,macro_values_used_by_ridge,verification_basis
final_forecasts_2026_2030.csv,final_fit_through_2024,tourism_comprehensive_income,raw_target_ridge_alpha_0.1,2026,forecast,241.1589640662,241.1589640662,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourism_comprehensive_income,raw_target_ridge_alpha_0.1,2027,forecast,255.0976659652,255.0976659652,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourism_comprehensive_income,raw_target_ridge_alpha_0.1,2028,forecast,269.0363678642,269.0363678642,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourism_comprehensive_income,raw_target_ridge_alpha_0.1,2029,forecast,282.9750697633,282.9750697633,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourism_comprehensive_income,raw_target_ridge_alpha_0.1,2030,forecast,296.9137716623,296.9137716623,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourism_comprehensive_income,raw_target_ridge_tuned_lambda,2026,forecast,242.0531006071,242.0531006071,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourism_comprehensive_income,raw_target_ridge_tuned_lambda,2027,forecast,256.3743076457,256.3743076457,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourism_comprehensive_income,raw_target_ridge_tuned_lambda,2028,forecast,270.6955146843,270.6955146843,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourism_comprehensive_income,raw_target_ridge_tuned_lambda,2029,forecast,285.0167217229,285.0167217229,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourism_comprehensive_income,raw_target_ridge_tuned_lambda,2030,forecast,299.3379287615,299.3379287615,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourist_visits,raw_target_ridge_alpha_0.1,2026,forecast,3039.5519564430,3039.5519564430,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourist_visits,raw_target_ridge_alpha_0.1,2027,forecast,3251.4786314255,3251.4786314255,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourist_visits,raw_target_ridge_alpha_0.1,2028,forecast,3463.4053064081,3463.4053064081,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourist_visits,raw_target_ridge_alpha_0.1,2029,forecast,3675.3319813907,3675.3319813907,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourist_visits,raw_target_ridge_alpha_0.1,2030,forecast,3887.2586563732,3887.2586563732,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourist_visits,raw_target_ridge_tuned_lambda,2026,forecast,3049.7470050393,3049.7470050393,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourist_visits,raw_target_ridge_tuned_lambda,2027,forecast,3268.4429513861,3268.4429513861,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourist_visits,raw_target_ridge_tuned_lambda,2028,forecast,3487.1388977330,3487.1388977330,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourist_visits,raw_target_ridge_tuned_lambda,2029,forecast,3705.8348440798,3705.8348440798,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
final_forecasts_2026_2030.csv,final_fit_through_2024,tourist_visits,raw_target_ridge_tuned_lambda,2030,forecast,3924.5307904267,3924.5307904267,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
cross_regime_stress_macro_metrics.csv,cross_regime_stress_2019_cutoff,equal_target_macro,raw_target_ridge_alpha_0.1,,macro_smape_percent,40.2425457658,40.2425457658,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
cross_regime_stress_macro_metrics.csv,cross_regime_stress_2019_cutoff,equal_target_macro,raw_target_ridge_tuned_lambda,,macro_smape_percent,40.8281809882,40.8281809882,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
augmented_outer_macro_metrics.csv,fold_local_augmented_nested,equal_target_macro,raw_target_ridge_alpha_0.1,,macro_smape_percent,14.7445528549,14.7445528549,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
augmented_outer_macro_metrics.csv,fold_local_augmented_nested,equal_target_macro,raw_target_ridge_tuned_lambda,,macro_smape_percent,14.7196190584,14.7196190584,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
official_outer_macro_metrics.csv,official_only_nested,equal_target_macro,raw_target_ridge_alpha_0.1,,macro_smape_percent,14.6611796538,14.6611796538,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
official_outer_macro_metrics.csv,official_only_nested,equal_target_macro,raw_target_ridge_tuned_lambda,,macro_smape_percent,14.6158601569,14.6158601569,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
pseudo_holdout_2024_macro_metrics.csv,pseudo_holdout_2024,equal_target_macro,raw_target_ridge_alpha_0.1,,macro_smape_percent,4.7674974461,4.7674974461,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
pseudo_holdout_2024_macro_metrics.csv,pseudo_holdout_2024,equal_target_macro,raw_target_ridge_tuned_lambda,,macro_smape_percent,4.7581821519,4.7581821519,0.0000000000,False,"dependency-graph invariance, backed by the read-only baseline reproduction in which all 30 Ridge CSV outputs were byte-identical; the macro canonical columns are not targets or features of the existing tourism Ridge"
