metric,model,lambda,alpha_code_parameter,year,forecast,mean_ci95_lower,mean_ci95_upper,prediction_interval95_lower,prediction_interval95_upper,interval_method,interval_warning,point_semantics,bootstrap_repetitions,random_seed,training_end_year,training_n,simulated_training_n,bootstrap_mean_draws_clipped_at_zero,bootstrap_prediction_draws_clipped_at_zero,uses_2025_as_training
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,2026,241.1589640662,226.7095964582,253.3456663447,217.1926405635,262.3908888816,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.1","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,2027,255.0976659652,239.7103328825,267.5410464661,230.3068942362,276.2519806367,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.1","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,2028,269.0363678642,252.5054671489,281.9706899736,243.9190407796,290.1940213316,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.1","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,2029,282.9750697633,265.0922197995,296.6905077373,256.3205040297,304.4201274507,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.1","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,2030,296.9137716623,277.3609389932,311.6061028572,269.9854052829,318.6658868100,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.1","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourism_comprehensive_income,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,2026,242.0531006071,228.5341425274,255.2904938876,219.2144401598,264.3249076496,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.0001","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourism_comprehensive_income,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,2027,256.3743076457,242.2394757182,270.2900745596,233.2261325626,279.1191399776,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.0001","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourism_comprehensive_income,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,2028,270.6955146843,255.6822058799,285.4111330582,247.3528942512,293.9958519181,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.0001","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourism_comprehensive_income,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,2029,285.0167217229,268.9690001216,300.8823608447,260.7719529390,308.4291088989,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.0001","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourism_comprehensive_income,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,2030,299.3379287615,282.0613081371,316.4535429464,274.8701171853,324.0511339628,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.0001","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
