metric,model,lambda,alpha_code_parameter,parameter,estimate,bootstrap_mean,bootstrap_standard_deviation,bootstrap_ci95_lower,bootstrap_ci95_upper,parameter_scale,feature_training_mean,feature_training_scale,bootstrap_repetitions,random_seed,training_n,training_end_year,uses_2025_as_training
tourist_visits,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,intercept,2028.7372579589,2028.7155115981,36.6379305942,1955.8357301559,2099.8380930869,raw-target intercept,,,10000,20260817,15,2024,False
tourist_visits,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,year_index,915.6278850918,887.3598032757,63.3856779326,763.2340471058,1013.1323714993,coefficient per one training-sample SD of predictor,0.7000000000,0.4320493799,10000,20260817,15,2024,False
tourist_visits,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,pandemic_2020_2022,-227.5299432447,-208.3180387198,52.2079091256,-310.1637484999,-105.9980664584,coefficient per one training-sample SD of predictor,0.2000000000,0.4000000000,10000,20260817,15,2024,False
tourist_visits,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,post_2022,-396.2684768271,-373.0360156148,57.5602688901,-484.3258603058,-257.4402309001,coefficient per one training-sample SD of predictor,0.1333333333,0.3399346342,10000,20260817,15,2024,False
tourist_visits,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,intercept,2028.7372579589,2028.7392618606,36.3743434137,1956.1803697476,2099.8819938483,raw-target intercept,,,10000,20260817,15,2024,False
tourist_visits,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,year_index,944.8744800445,944.6071363192,65.5714824346,816.0758852994,1074.3104026662,coefficient per one training-sample SD of predictor,0.7000000000,0.4320493799,10000,20260817,15,2024,False
tourist_visits,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,pandemic_2020_2022,-247.2441258908,-246.9250144581,53.6283557849,-351.8685791244,-141.5780064345,coefficient per one training-sample SD of predictor,0.2000000000,0.4000000000,10000,20260817,15,2024,False
tourist_visits,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,post_2022,-420.0320591564,-419.5465836894,59.2998851724,-536.0297216586,-300.9337477832,coefficient per one training-sample SD of predictor,0.1333333333,0.3399346342,10000,20260817,15,2024,False
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,intercept,114.6416764127,114.6291233766,2.3047861741,109.9921875933,119.0739065189,raw-target intercept,,,10000,20260817,15,2024,False
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,year_index,60.2220751200,58.6075266875,3.9947683997,50.6833656422,66.3576628227,coefficient per one training-sample SD of predictor,0.7000000000,0.4320493799,10000,20260817,15,2024,False
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,pandemic_2020_2022,-20.8007366984,-19.6582080240,3.3122570340,-26.2266261663,-13.2277145491,coefficient per one training-sample SD of predictor,0.2000000000,0.4000000000,10000,20260817,15,2024,False
tourism_comprehensive_income,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,post_2022,-3.6600753389,-2.4591055925,3.6570475486,-9.7280065240,4.8550377212,coefficient per one training-sample SD of predictor,0.1333333333,0.3399346342,10000,20260817,15,2024,False
tourism_comprehensive_income,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,intercept,114.6416764127,114.6308053585,2.2902250134,110.0038979520,119.0492833788,raw-target intercept,,,10000,20260817,15,2024,False
tourism_comprehensive_income,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,year_index,61.8746862036,61.8423085037,4.1410534341,53.7161295644,69.9019577490,coefficient per one training-sample SD of predictor,0.7000000000,0.4320493799,10000,20260817,15,2024,False
tourism_comprehensive_income,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,pandemic_2020_2022,-21.9442864600,-21.8983979383,3.4040901339,-28.6625080843,-15.2964812576,coefficient per one training-sample SD of predictor,0.2000000000,0.4000000000,10000,20260817,15,2024,False
tourism_comprehensive_income,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,post_2022,-4.8839124266,-4.8500474021,3.7743026526,-12.3539342136,2.6337855724,coefficient per one training-sample SD of predictor,0.1333333333,0.3399346342,10000,20260817,15,2024,False
