track,outer_fold_id,metric,lambda,alpha_code_parameter,validation_year,inner_physical_train_n,inner_effective_train_n,inner_train_end_year,actual,prediction,smape_percent,absolute_log_error,simulated_training
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001000000,0.0001000000,2014,4,4,2013,1553.4000000000,1446.9912852179,7.0929891915,0.0709596520,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001000000,0.0001000000,2015,5,5,2014,1818.7200000000,1671.5503569929,8.4331371472,0.0843814037,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001000000,0.0001000000,2016,6,6,2015,2086.0000000000,1930.3760651767,7.7494702836,0.0775335202,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001000000,0.0001000000,2017,7,7,2016,2392.0000000000,2201.0400906926,8.3151858262,0.0831998189,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001000000,0.0001000000,2018,8,8,2017,2660.0000000000,2494.9293727668,6.4043797808,0.0640657015,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001000000,0.0001000000,2019,9,9,2018,2800.0000000000,2782.6163705835,0.6227771447,0.0062277916,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001000000,0.0001000000,2023,10,13,2019,2363.0000000000,3722.3114658346,44.6751648939,0.4544128389,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001778279,0.0001778279,2014,4,4,2013,1553.4000000000,1446.9845029839,7.0934573159,0.0709643392,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001778279,0.0001778279,2015,5,5,2014,1818.7200000000,1671.5428523059,8.4335853156,0.0843858934,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001778279,0.0001778279,2016,6,6,2015,2086.0000000000,1930.3678144999,7.7498970557,0.0775377944,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001778279,0.0001778279,2017,7,7,2016,2392.0000000000,2201.0312668791,8.3155860269,0.0832038279,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001778279,0.0001778279,2018,8,8,2017,2660.0000000000,2494.9199901908,6.4047554617,0.0640694622,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0001778279,0.0001778279,2019,9,9,2018,2800.0000000000,2782.6066280367,0.6231272637,0.0062312928,True
