model,year,tourist_visits,tourism_comprehensive_income,implied_spend_cny_per_visit
raw_target_ridge_alpha_0.1,2026,3039.5519564430,241.1589640662,793.4029999224
raw_target_ridge_alpha_0.1,2027,3251.4786314255,255.0976659652,784.5589495797
raw_target_ridge_alpha_0.1,2028,3463.4053064081,269.0363678642,776.7972387363
raw_target_ridge_alpha_0.1,2029,3675.3319813907,282.9750697633,769.9306380922
raw_target_ridge_alpha_0.1,2030,3887.2586563732,296.9137716623,763.8127480288
raw_target_ridge_tuned_lambda,2026,3049.7470050393,242.0531006071,793.6825586093
raw_target_ridge_tuned_lambda,2027,3268.4429513861,256.3743076457,784.3927872045
raw_target_ridge_tuned_lambda,2028,3487.1388977330,270.6955146843,776.2682319889
raw_target_ridge_tuned_lambda,2029,3705.8348440798,285.0167217229,769.1026009381
raw_target_ridge_tuned_lambda,2030,3924.5307904267,299.3379287615,762.7355848288
