metric,lambda,alpha_code_parameter,year,forecast,formal_ridge_candidate,boundary_diagnostic
tourist_visits,0.0000000000,0.0000000000,2026,3049.7575429555,False,True
tourist_visits,0.0000000000,0.0000000000,2030,3924.5696116843,False,True
tourist_visits,0.0000010000,0.0000010000,2026,3049.7574375729,False,True
tourist_visits,0.0000010000,0.0000010000,2030,3924.5692234561,False,True
tourist_visits,0.0001000000,0.0001000000,2026,3049.7470050393,True,False
tourist_visits,0.0001000000,0.0001000000,2030,3924.5307904267,True,False
tourist_visits,0.0010000000,0.0010000000,2026,3049.6521950328,True,False
tourist_visits,0.0010000000,0.0010000000,2030,3924.1815411987,True,False
tourist_visits,0.0100000000,0.0100000000,2026,3048.7071741226,True,False
tourist_visits,0.0100000000,0.0100000000,2030,3920.7030531960,True,False
tourist_visits,0.1000000000,0.1000000000,2026,3039.5519564430,True,False
tourist_visits,0.1000000000,0.1000000000,2030,3887.2586563732,True,False
tourist_visits,1.0000000000,1.0000000000,2026,2968.5884029378,True,False
tourist_visits,1.0000000000,1.0000000000,2030,3645.5586870755,True,False
tourist_visits,10.0000000000,10.0000000000,2026,2685.6687299424,True,False
tourist_visits,10.0000000000,10.0000000000,2030,2989.1695228267,True,False
tourist_visits,100.0000000000,100.0000000000,2026,2213.7713570061,True,False
tourist_visits,100.0000000000,100.0000000000,2030,2280.9633057764,True,False
tourism_comprehensive_income,0.0000000000,0.0000000000,2026,242.0540156149,False,True
tourism_comprehensive_income,0.0000000000,0.0000000000,2030,299.3404405987,False,True
tourism_comprehensive_income,0.0000010000,0.0000010000,2026,242.0540064646,False,True
tourism_comprehensive_income,0.0000010000,0.0000010000,2030,299.3404154794,False,True
tourism_comprehensive_income,0.0001000000,0.0001000000,2026,242.0531006071,True,False
tourism_comprehensive_income,0.0001000000,0.0001000000,2030,299.3379287615,True,False
tourism_comprehensive_income,0.0010000000,0.0010000000,2026,242.0448674072,True,False
tourism_comprehensive_income,0.0010000000,0.0010000000,2030,299.3153302334,True,False
tourism_comprehensive_income,0.0100000000,0.0100000000,2026,241.9627198203,True,False
tourism_comprehensive_income,0.0100000000,0.0100000000,2030,299.0901341334,True,False
tourism_comprehensive_income,0.1000000000,0.1000000000,2026,241.1589640662,True,False
tourism_comprehensive_income,0.1000000000,0.1000000000,2030,296.9137716623,True,False
tourism_comprehensive_income,1.0000000000,1.0000000000,2026,234.3944011169,True,False
tourism_comprehensive_income,1.0000000000,1.0000000000,2030,280.4207603041,True,False
tourism_comprehensive_income,10.0000000000,10.0000000000,2026,199.4174633744,True,False
tourism_comprehensive_income,10.0000000000,10.0000000000,2030,222.6573186078,True,False
tourism_comprehensive_income,100.0000000000,100.0000000000,2026,137.5843012296,True,False
tourism_comprehensive_income,100.0000000000,100.0000000000,2030,143.1374798374,True,False
