track,outer_fold_id,metric,lambda,alpha_code_parameter,simulated_training,inner_validation_count,mean_inner_smape_percent,std_inner_smape_percent,mean_inner_absolute_log_error,selected_lambda,selection_status,boundary_hit,boundary_side,min_required_inner_validations
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0001000000,0.0001000000,False,1,10.0521583254,,0.1006063559,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0001778279,0.0001778279,False,1,10.0527629989,,0.1006124179,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0003162278,0.0003162278,False,1,10.0538382277,,0.1006231975,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0005623413,0.0005623413,False,1,10.0557501285,,0.1006423649,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0010000000,0.0010000000,False,1,10.0591495273,,0.1006764451,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0017782794,0.0017782794,False,1,10.0651930429,,0.1007370336,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0031622777,0.0031622777,False,1,10.0759351557,,0.1008447278,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0056234133,0.0056234133,False,1,10.0950220065,,0.1010360829,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0100000000,0.0100000000,False,1,10.1289144291,,0.1013758757,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0177827941,0.0177827941,False,1,10.1890291116,,0.1019785776,0.1000000000,fallback_insufficient_inner_validations,False,none,3
