track,outer_fold_id,metric,lambda,alpha_code_parameter,validation_year,inner_physical_train_n,inner_effective_train_n,inner_train_end_year,actual,prediction,smape_percent,absolute_log_error,simulated_training
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0001000000,0.0001000000,2014,4,4,2013,79.0000000000,71.4388255371,10.0521583254,0.1006063559,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0001778279,0.0001778279,2014,4,4,2013,79.0000000000,71.4383924727,10.0527629989,0.1006124179,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0003162278,0.0003162278,2014,4,4,2013,79.0000000000,71.4376224049,10.0538382277,0.1006231975,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0005623413,0.0005623413,2014,4,4,2013,79.0000000000,71.4362531407,10.0557501285,0.1006423649,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0010000000,0.0010000000,2014,4,4,2013,79.0000000000,71.4338186226,10.0591495273,0.1006764451,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0017782794,0.0017782794,2014,4,4,2013,79.0000000000,71.4294906846,10.0651930429,0.1007370336,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0031622777,0.0031622777,2014,4,4,2013,79.0000000000,71.4217985586,10.0759351557,0.1008447278,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0056234133,0.0056234133,2014,4,4,2013,79.0000000000,71.4081329401,10.0950220065,0.1010360829,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0100000000,0.0100000000,2014,4,4,2013,79.0000000000,71.3838730898,10.1289144291,0.1013758757,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0177827941,0.0177827941,2014,4,4,2013,79.0000000000,71.3408628584,10.1890291116,0.1019785776,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0316227766,0.0316227766,2014,4,4,2013,79.0000000000,71.2647888568,10.2954407377,0.1030454920,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.0562341325,0.0562341325,2014,4,4,2013,79.0000000000,71.1307904296,10.4831387990,0.1049275513,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.1000000000,0.1000000000,2014,4,4,2013,79.0000000000,70.8964777805,10.8121582835,0.1082270989,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.1778279410,0.1778279410,2014,4,4,2013,79.0000000000,70.4919315123,11.3826457410,0.1139495958,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.3162277660,0.3162277660,2014,4,4,2013,79.0000000000,69.8085744268,12.3533547829,0.1236910075,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,0.5623413252,0.5623413252,2014,4,4,2013,79.0000000000,68.6957914363,13.9532866354,0.1397599151,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,1.0000000000,1.0000000000,2014,4,4,2013,79.0000000000,66.9875674000,16.4567884977,0.1649408115,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,1.7782794100,1.7782794100,2014,4,4,2013,79.0000000000,64.5890986555,20.0724170281,0.2014022074,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,3.1622776602,3.1622776602,2014,4,4,2013,79.0000000000,61.6115908107,24.7325403106,0.2485978371,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,5.6234132519,5.6234132519,2014,4,4,2013,79.0000000000,58.4323581087,29.9312944554,0.3015780389,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,10.0000000000,10.0000000000,2014,4,4,2013,79.0000000000,55.5400441429,34.8743097367,0.3523435758,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,17.7827941004,17.7827941004,2014,4,4,2013,79.0000000000,53.2677686523,38.9092998391,0.3941164199,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,31.6227766017,31.6227766017,2014,4,4,2013,79.0000000000,51.6797293286,41.8125608489,0.4243822305,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,56.2341325190,56.2341325190,2014,4,4,2013,79.0000000000,50.6584790720,43.7171886187,0.4443412306,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,100.0000000000,100.0000000000,2014,4,4,2013,79.0000000000,50.0364271923,44.8920873553,0.4566965685,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,177.8279410039,177.8279410039,2014,4,4,2013,79.0000000000,49.6699823225,45.5895262408,0.4640470792,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,316.2277660168,316.2277660168,2014,4,4,2013,79.0000000000,49.4583495119,45.9941305494,0.4683169611,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,562.3413251903,562.3413251903,2014,4,4,2013,79.0000000000,49.3375221293,46.2257294336,0.4707629629,False
official_only_nested,tourism_comprehensive_income_test_2015,tourism_comprehensive_income,1000.0000000000,1000.0000000000,2014,4,4,2013,79.0000000000,49.2689905657,46.3572829304,0.4721529639,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0001000000,0.0001000000,2014,4,4,2013,79.0000000000,71.4388255371,10.0521583254,0.1006063559,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0001000000,0.0001000000,2015,5,5,2014,94.0000000000,86.3908806673,8.4362572038,0.0844126599,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0001778279,0.0001778279,2014,4,4,2013,79.0000000000,71.4383924727,10.0527629989,0.1006124179,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0001778279,0.0001778279,2015,5,5,2014,94.0000000000,86.3903943124,8.4368191739,0.0844182896,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0003162278,0.0003162278,2014,4,4,2013,79.0000000000,71.4376224049,10.0538382277,0.1006231975,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0003162278,0.0003162278,2015,5,5,2014,94.0000000000,86.3895294748,8.4378184780,0.0844283004,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0005623413,0.0005623413,2014,4,4,2013,79.0000000000,71.4362531407,10.0557501285,0.1006423649,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0005623413,0.0005623413,2015,5,5,2014,94.0000000000,86.3879916703,8.4395954068,0.0844461014,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0010000000,0.0010000000,2014,4,4,2013,79.0000000000,71.4338186226,10.0591495273,0.1006764451,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0010000000,0.0010000000,2015,5,5,2014,94.0000000000,86.3852573980,8.4427549256,0.0844777530,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0017782794,0.0017782794,2014,4,4,2013,79.0000000000,71.4294906846,10.0651930429,0.1007370336,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0017782794,0.0017782794,2015,5,5,2014,94.0000000000,86.3803962798,8.4483723035,0.0845340271,False
